supplier_id,supplier_name,region,incoterm
100860,Blue Rock,Vancouver,FAS
100860,Blue Rock,Vancouver,FAS
100821,Bluewater,Vancouver,FAS
100821,Bluewater,Vancouver,FAS
100030,Canaan Recyling,New York,FAS
100030,Canaan Recyling,New York,FAS
100030,Canaan Recyling,New York,FAS
100030,Canaan Recyling,New York,FAS
100030,Canaan Recyling,New York,FAS
100030,Canaan Recyling,New York,FAS
100030,Canaan Recyling,New York,FAS
100741,Cascades,Montreal,FAS
100741,Cascades,Montreal,FAS
100741,Cascades,Montreal,FAS
100741,Cascades,Montreal,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100812,City Fibers,Los Angeles,FAS
100574,DBI,New York,FAS
100016,Edco,Los Angeles,FAS
100540,Emterra,Vancouver,FAS
100540,Emterra,Vancouver,FAS
100540,Emterra,Vancouver,FAS
100540,Emterra,Vancouver,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100700,ICTV,Los Angeles,FAS
100801,Standard ,Los Angeles,FAS
100003,Sanco,Los Angeles,FAS
100003,Sanco,Los Angeles,FAS
100003,Sanco,Los Angeles,FAS
100003,Sanco,Los Angeles,FAS
100831,SeaDrunar,Seattle,FAS
100831,SeaDrunar,Seattle,FAS
100831,SeaDrunar,Seattle,FAS
100831,SeaDrunar,Seattle,FAS
100831,SeaDrunar,Seattle,FAS
100384,SunWest,Los Angeles,FAS
100384,SunWest,Los Angeles,FAS
100384,SunWest,Los Angeles,FAS
100384,SunWest,Los Angeles,FAS
100384,SunWest,Los Angeles,FAS
